date;US;Canada;Brazil;China;Japan;Korea, South;UK;Italy;France;New Zealand
2020-01-22;1;0;0;548;2;1;0;0;0;0
2020-01-23;1;0;0;643;2;1;0;0;0;0
2020-01-24;2;0;0;920;2;2;0;0;2;0
2020-01-25;2;0;0;1406;2;2;0;0;3;0
2020-01-26;5;1;0;2075;4;3;0;0;3;0
2020-01-27;5;1;0;2877;4;4;0;0;3;0
2020-01-28;5;2;0;5509;7;4;0;0;4;0
2020-01-29;6;2;0;6087;7;4;0;0;5;0
2020-01-30;6;2;0;8141;11;4;0;0;5;0
2020-01-31;8;4;0;9802;15;11;0;2;5;0
2020-02-01;8;4;0;11891;20;12;0;2;6;0
2020-02-02;8;4;0;16630;20;15;0;2;6;0
2020-02-03;11;4;0;19716;20;15;0;2;6;0
2020-02-04;11;4;0;23707;22;16;0;2;6;0
2020-02-05;11;5;0;27440;23;19;0;2;6;0
2020-02-06;12;5;0;30587;23;23;0;2;6;0
2020-02-07;12;7;0;34110;23;24;0;3;6;0
2020-02-08;12;7;0;36814;24;24;0;3;11;0
2020-02-09;12;7;0;39829;24;25;0;3;11;0
2020-02-10;12;7;0;42354;26;27;0;3;11;0
2020-02-11;13;7;0;44386;27;28;0;3;11;0
2020-02-12;13;7;0;44759;28;28;0;3;11;0
2020-02-13;14;7;0;59895;33;28;0;3;11;0
2020-02-14;14;7;0;66358;43;28;0;3;11;0
2020-02-15;14;7;0;68413;54;28;0;3;12;0
2020-02-16;14;7;0;70513;60;29;0;3;12;0
2020-02-17;14;8;0;72434;67;30;0;3;12;0
2020-02-18;14;8;0;74211;79;31;0;3;12;0
2020-02-19;14;8;0;74619;85;31;0;3;12;0
2020-02-20;14;8;0;75077;95;104;0;3;12;0
2020-02-21;16;9;0;75550;112;204;0;20;12;0
2020-02-22;16;9;0;77001;137;433;0;62;12;0
2020-02-23;16;9;0;77022;149;602;0;155;12;0
2020-02-24;16;10;0;77241;160;833;0;229;12;0
2020-02-25;16;11;0;77754;173;977;0;322;14;0
2020-02-26;16;11;1;78166;192;1261;0;453;18;0
2020-02-27;17;13;1;78600;218;1766;0;655;38;0
2020-02-28;17;14;1;78928;236;2337;0;888;57;1
2020-02-29;25;20;2;79356;245;3150;0;1128;100;1
2020-03-01;32;24;2;79932;259;3736;0;1694;130;1
2020-03-02;55;27;2;80136;278;4335;0;2036;191;1
2020-03-03;74;30;2;80261;298;5186;0;2502;204;1
2020-03-04;107;33;4;80386;333;5621;0;3089;288;3
2020-03-05;184;37;4;80537;365;6088;0;3858;380;3
2020-03-06;237;49;13;80690;420;6593;0;4636;656;4
2020-03-07;403;54;13;80770;466;7041;0;5883;959;5
2020-03-08;519;64;20;80823;499;7314;0;7375;1136;5
2020-03-09;594;77;25;80860;527;7478;0;9172;1219;5
2020-03-10;782;79;31;80887;585;7513;0;10149;1794;5
2020-03-11;1147;108;38;80921;640;7755;0;12462;2293;5
2020-03-12;1586;117;52;80932;696;7869;0;15113;2293;5
2020-03-13;2219;193;151;80945;733;7979;0;17660;3681;5
2020-03-14;2978;198;151;80977;795;8086;0;21157;4496;6
2020-03-15;3212;252;162;81003;826;8162;0;24747;4532;8
2020-03-16;4679;415;200;81033;843;8236;0;27980;6683;8
2020-03-17;6512;478;321;81058;893;8320;0;31506;7715;12
2020-03-18;9169;657;372;81102;928;8413;0;35713;9124;20
2020-03-19;13663;800;621;81156;968;8565;0;41035;10970;28
2020-03-20;20030;943;793;81250;1022;8652;0;47021;12758;39
2020-03-21;26025;1277;1021;81305;1059;8799;0;53578;14463;52
2020-03-22;34855;1469;1546;81435;1104;8961;0;59138;16243;102
2020-03-23;46086;2088;1924;81498;1144;8961;0;63927;20123;102
2020-03-24;56698;2790;2247;81591;1217;9037;0;69176;22622;155
2020-03-25;68773;3251;2554;81661;1314;9137;0;74386;25600;205
2020-03-26;86613;4042;2985;81782;1416;9241;0;80589;29551;283
2020-03-27;105293;4682;3417;81897;1530;9332;0;86498;33402;368
2020-03-28;124900;5576;3904;81999;1728;9478;0;92472;38105;451
2020-03-29;143779;6280;4256;82122;1907;9583;0;97689;40708;514
2020-03-30;165861;7398;4579;82198;2001;9661;0;101739;45170;589
2020-03-31;192177;8527;5717;82279;2255;9786;0;105792;52827;647
2020-04-01;218060;9560;6836;82361;2535;9887;0;110574;57749;708
2020-04-02;248447;11284;8044;82432;2818;9976;0;115242;59929;797
2020-04-03;280417;12437;9056;82511;3154;10062;0;119827;65202;868
2020-04-04;313432;12978;10360;82543;3525;10156;0;124632;69500;950
2020-04-05;341629;15756;11130;82602;3876;10237;0;128948;71412;1039
2020-04-06;371802;16563;12161;82665;4110;10284;0;132547;75343;1106
2020-04-07;403212;17872;14034;82718;4485;10331;0;135586;79163;1160
2020-04-08;435407;19141;16170;82809;5020;10384;0;139422;83057;1210
2020-04-09;469989;20654;18092;82883;5614;10423;0;143626;87366;1239
2020-04-10;503474;22059;19638;82941;6250;10450;0;147577;91738;1283
2020-04-11;532782;23316;20727;83014;6951;10480;0;152271;94863;1312
2020-04-12;559709;24299;22192;83134;7473;10512;0;156363;121712;1330
2020-04-13;585518;25680;23430;83213;7773;10537;0;159516;125394;1349
2020-04-14;614082;27035;25262;83306;8277;10564;0;162488;130365;1366
2020-04-15;644247;28209;28320;83356;8835;10591;0;165155;133585;1386
2020-04-16;675648;30809;30425;83403;9398;10613;0;168941;146075;1401
2020-04-17;708317;32814;33682;83760;9958;10635;0;172434;148084;1409
2020-04-18;736244;34356;36658;83787;10548;10653;0;175925;148086;1422
2020-04-19;761933;35633;38654;83805;10914;10661;0;178972;153011;1431
2020-04-20;790353;37658;40743;83817;11258;10674;0;181228;155393;1440
2020-04-21;816413;39402;43079;83853;11641;10683;0;183957;158168;1445
2020-04-22;845727;41663;45757;83868;12037;10694;0;187327;155980;1451
2020-04-23;878911;43299;50036;83884;12469;10708;0;189973;158303;1456
2020-04-24;912662;44919;54043;83899;12854;10718;0;192994;159952;1461
2020-04-25;944234;46371;59324;83909;13186;10728;0;195351;161644;1470
2020-04-26;971078;48033;63100;83912;13405;10738;0;197675;162220;1469
2020-04-27;994265;49616;67446;83918;13576;10752;0;199414;165963;1472
2020-04-28;1018926;51150;73235;83940;13860;10761;0;201505;169053;1474
2020-04-29;1046737;52865;79685;83944;14076;10765;0;203591;166543;1476
2020-04-30;1076224;54457;87187;83956;14284;10774;0;205463;167299;1479
2020-05-01;1110464;56343;92202;83959;14558;10780;0;207428;167305;1485
2020-05-02;1138228;57926;97100;83959;14861;10793;0;209328;168518;1487
2020-05-03;1162685;60504;101826;83964;15061;10801;0;210717;168925;1487
2020-05-04;1186067;61957;108620;83966;15229;10804;0;211938;169583;1486
2020-05-05;1210577;63215;115455;83968;15354;10806;0;213013;170687;1488
2020-05-06;1235666;64694;126611;83970;15455;10810;0;214457;174224;1489
2020-05-07;1263402;66201;135773;83975;15553;10822;0;215858;174918;1490
2020-05-08;1290151;67674;146894;83976;15640;10840;0;217185;176202;1492
2020-05-09;1315099;68918;156061;83990;15755;10874;0;218268;176782;1494
2020-05-10;1333970;70091;162699;84010;15824;10909;0;219070;177094;1497
2020-05-11;1353397;71264;169594;84011;15861;10936;0;219814;177547;1497
2020-05-12;1376122;72419;178214;84018;15948;10962;0;221216;178349;1497
2020-05-13;1397085;73568;190137;84024;15998;10991;0;222104;178184;1497
2020-05-14;1424243;74781;203165;84029;16096;11018;0;223096;178994;1498
2020-05-15;1449498;75959;220291;84038;16148;11037;0;223885;179630;1498
2020-05-16;1473514;77206;233511;84044;16202;11050;0;224760;179630;1499
2020-05-17;1491829;78332;241080;84054;16226;11065;0;225435;179693;1499
2020-05-18;1513816;79411;255368;84063;16259;11078;0;225886;180051;1499
2020-05-19;1534871;80493;271885;84063;16287;11110;0;226699;180933;1503
2020-05-20;1557933;81575;291579;84063;16321;11122;0;227364;181700;1503
2020-05-21;1583798;82742;310087;84063;16362;11142;0;228006;181951;1504
2020-05-22;1607109;83947;330890;84081;16385;11165;0;228658;182354;1504
2020-05-23;1628212;85151;347398;84084;16410;11190;0;229327;182694;1504
2020-05-24;1648158;86106;363211;84095;16451;11206;0;229858;182709;1504
2020-05-25;1666505;87119;374898;84102;16472;11225;0;230158;183067;1504
2020-05-26;1685956;88090;391222;84103;16502;11265;0;230555;182847;1504
2020-05-27;1704489;88989;411821;84106;16528;11344;0;231139;183038;1504
2020-05-28;1727357;89976;438238;84106;16598;11402;0;231732;186364;1504
2020-05-29;1751612;90909;465166;84123;16673;11441;0;232248;186923;1504
2020-05-30;1775428;91681;498440;84128;16716;11468;0;232664;188752;1504
2020-05-31;1794465;92479;514849;84146;16751;11503;0;232997;189009;1504
2020-06-01;1811393;93288;526447;84154;16787;11541;0;233197;189348;1504
2020-06-02;1832782;93960;555383;84161;16837;11590;0;233515;188582;1504
2020-06-03;1852788;94641;584016;84160;16867;11629;0;233836;188934;1504
2020-06-04;1874156;95269;614941;84171;16911;11668;0;234013;189701;1504
2020-06-05;1899505;95947;645771;84177;16958;11719;0;234531;190312;1504
2020-06-06;1920910;96475;672846;84186;17000;11776;0;234801;190891;1504
2020-06-07;1938572;97178;691758;84191;17039;11814;0;234998;191234;1504
2020-06-08;1956064;97779;707412;84195;17060;11852;0;235278;191445;1504
2020-06-09;1974425;98241;739503;84198;17111;11902;0;235561;191849;1504
2020-06-10;1995376;98720;772416;84209;17146;11947;0;235763;192394;1504
2020-06-11;2018418;99159;802828;84216;17187;12003;0;236142;192819;1504
2020-06-12;2043332;99595;828810;84228;17250;12051;0;236305;193546;1504
2020-06-13;2068600;100043;850514;84286;17293;12085;0;236651;194072;1504
2020-06-14;2087619;100404;867624;84335;17369;12121;0;236989;194479;1504
2020-06-15;2107075;100763;888271;84378;17439;12155;0;237290;194631;1506
